longitude,latitude,American Crow,Belted Kingfisher,Blue Jay,Blue-gray Gnatcatcher,Brown Pelican,Brown Thrasher,Carolina Chickadee,Carolina Wren,Common Grackle,Double-crested Cormorant,Downy Woodpecker,Eastern Bluebird,Eastern Phoebe,Eastern Towhee,European Starling,Fish Crow,Forster's Tern,Gray Catbird,Great Blue Heron,Great Crested Flycatcher,Great Egret,House Finch,House Sparrow,Killdeer,Laughing Gull,Little Blue Heron,Marbled Godwit,Mourning Dove,Northern Cardinal,Northern Mockingbird,Osprey,Pine Warbler,Red-bellied Woodpecker,Red-winged Blackbird,Ring-billed Gull,Royal Tern,Ruby-crowned Kinglet,Ruby-throated Hummingbird,Sanderling,Snowy Egret,Tufted Titmouse,Turkey Vulture,White Ibis,White-eyed Vireo,Willet,Yellow-rumped Warbler
-90.62192898403646,31.230409526666037,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.59187655475364,31.242226060357872,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,54.0,6.0,2.0,147.0
-90.5618261855782,31.25403197572347,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.74250288767146,31.149384465761933,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.71246133331252,31.161225091528237,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.68241413758832,31.17305848513412,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.65236715705086,31.18488398470399,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.62231740759228,31.19670376789151,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.5922678588469,31.208512801662025,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.56221095548322,31.220316314792836,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.53214952829468,31.232114693960423,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.50208818262846,31.24390234161532,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,54.0,6.0,2.0,147.0
-90.47202468852204,31.255684682684112,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,54.0,6.0,2.0,147.0
-90.74289660420438,31.115685175648743,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.71285287462162,31.127527875852017,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.6828098449466,31.13935697318545,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.65276437941549,31.151181629466315,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.62271713706112,31.16299955070717,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.59266287806857,31.17480756708016,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.56260488188197,31.18660930650205,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.5325549692669,31.198406819390584,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.50249219855826,31.210192379436027,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.47243023114856,31.221971523256745,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.44236572244978,31.23374427300205,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.41229594632736,31.24550706283134,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,54.0,6.0,2.0,147.0
-90.38222978846814,31.257262926228275,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.74330821595076,31.08199234270113,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.7132697817132,31.0938332682849,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.68322388107876,31.10566280330453,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.65317507562318,31.117485359285936,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.62312837928766,31.129302644329588,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.59307835532492,31.141111474530508,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.56302550284242,31.15290693159253,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.53297093880782,31.16470122421035,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.50290822668748,31.17648755598874,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.4728466304278,31.188262259597977,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.44278637059163,31.20003392439792,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.41272159399416,31.2117999361665,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.38264597800048,31.22355653412808,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.3525738314227,31.235303608439207,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.32250191229838,31.24704127299392,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.29242382642582,31.25877196451875,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.74373338842192,31.048305616307623,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.71369161990027,31.06014077523952,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.68364854740165,31.071970479037297,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.65360418790878,31.083794220323693,2980.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,54.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.62355472341096,31.095607082200377,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.593507290582,31.107413148727492,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.56345445169714,31.11921425026483,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.53340062275063,31.13100458712141,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,54.0,19.0,19.0,6.0,2.0,147.0
-90.50334052001924,31.1427826328935,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.47327820077246,31.15456540494169,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.4432178281062,31.166331031828975,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
